id_audio;palabra;origen;sexo
autobus/autobus_emivallr_h_esp.mp3;autobus;España;Hombre
barco/barco_arvalosp1_h_col.mp3;barco;España;Hombre
barco/barco_azdriel_h_esp.mp3;barco;España;Hombre
barco/barco_Barreraivan27_h_col.mp3;barco;España;Hombre
barco/barco_fjglez_h_esp.mp3;barco;España;Hombre
barco/barco_jbpablotr_h_col.mp3;barco;España;Hombre
barco/barco_Momislo_h_esp.mp3;barco;España;Hombre
blanco/blanco_abstract_h_gua.mp3;blanco;España;Hombre
blanco/blanco_brujacarter_m_esp.mp3;blanco;España;Hombre
blanco/blanco_camilorosa_h_chile.mp3;blanco;España;Hombre
blanco/blanco_donquijote_h_mex.mp3;blanco;España;Hombre
blanco/blanco_enriquemdc23_h_mex.mp3;blanco;España;Hombre
blanco/blanco_gardenvillage_m_fra.mp3;blanco;España;Hombre
blanco/blanco_guijaran2_m_esp.mp3;blanco;España;Hombre
blanco/blanco_vayusta_m_esp.mp3;blanco;España;Hombre
blanco/blanco_vkal_h_esp.mp3;blanco;España;Hombre
blanco/blanco_wordfor_m_col.mp3;blanco;España;Hombre
bolso/bolso_camilorosa_h_chile.mp3;bolso;España;Hombre
bolso/bolso_mareze_h_arg.mp3;bolso;España;Hombre
bolso/bolso_sperez2418_h_mex.mp3;bolso;España;Hombre
bolso/bolso_treintaitantos_h_esp.mp3;bolso;España;Hombre
bufanda/bufanda_alter_h_ven.mp3;bufanda;España;Hombre
bufanda/bufanda_borum_h_esp.mp3;bufanda;España;Hombre
bufanda/bufanda_Gorgorito_h_esp.mp3;bufanda;España;Hombre
bufanda/bufanda_oscarm_h_esp.mp3;bufanda;España;Hombre
bufanda/bufanda_pola_m_mex.mp3;bufanda;España;Hombre
bufanda/bufanda_wordfor_m_col.mp3;bufanda;España;Hombre
cara/cara_beitter_m_esp.mp3;cara;España;Hombre
cara/cara_dakes_h_esp.mp3;cara;España;Hombre
cara/cara_diegoalcara_h_esp.mp3;cara;España;Hombre
cara/cara_emiliop_h_esp.mp3;cara;España;Hombre
cara/cara_luisdamianprimo_h_arg.mp3;cara;España;Hombre
cara/cara_orgullomoore_h_eeuu.mp3;cara;España;Hombre
cara/cara_oskerals_h_ven.mp3;cara;España;Hombre
cara/cara_randomlino_h_peru.mp3;cara;No nativo;Hombre
cara/cara_victornalab_h_ven.mp3;cara;España;Hombre
chaqueta/chaqueta_effystonem_m_mex.mp3;chaqueta;España;Hombre
chaqueta/chaqueta_irs00013_m_esp.mp3;chaqueta;España;Hombre
chaqueta/chaqueta_packo38_h_esp.mp3;chaqueta;España;Hombre
